"Book","Author(s)","Original language","First published","Approximate sales"
"Things Fall Apart","Chinua Achebe","English",1958,"11 million[107]"
"The Prophet","Khalil Gibran","English",1923,"11 million[108][better source needed]"
"The Exorcist","William Peter Blatty","English",1971,"11 million[109]"
"The Fault in Our Stars","John Green","English",2012,"10.7 million[110]"
"Catch-22","Joseph Heller","English",1961,"10 million[112]"
"Eye of the Needle","Ken Follett","English",1978,"10 million[113]"
"A Brief History of Time","Stephen Hawking","English",1988,"10 million[114]"
"The Cat in the Hat","Dr. Seuss","English",1957,"10 million[115]"
"The Lovely Bones","Alice Sebold","English",2002,"10 million[116]"
"Santa Evita","Tomás Eloy Martínez","Spanish",1995,"10 million[118]"
"The Kite Runner","Khaled Hosseini","English",2003,"10 million[120]"
"What Color is Your Parachute?","Richard Nelson Bolles","English",1970,"10 million[125]"
"The Joy of Sex","Alex Comfort","English",1972,"10 million[127]"
"The Gospel According to Peanuts","Robert L. Short","English",1965,"10 million[128]"
"Life of Pi","Yann Martel","English",2001,"10 million[129]"
"The Giver","Lois Lowry","English",1993,"10 million[130]"
